file,batch_size,learning_rate,momentum,gamma,optimizer,time(m),train_acc,val_acc,test_acc
runs/AlexNet_experiment_0100,12,0.001,0.9,0.1,sgd,10.824979150295258,0.7785,0.538,0.546
runs/AlexNet_experiment_0101,12,0.001,0.9,0.01,sgd,10.823392995198567,0.728,0.518,0.534
runs/AlexNet_experiment_0200,12,0.005,0.9,0.1,sgd,11.177424744764965,0.685,0.526,0.534
runs/AlexNet_experiment_0211,12,0.005,0.5,0.01,sgd,10.59488541285197,0.7375,0.552,0.534
runs/AlexNet_experiment_0201,12,0.005,0.9,0.01,sgd,10.675908529758454,0.70275,0.508,0.518
runs/AlexNet_experiment_0210,12,0.005,0.5,0.1,sgd,10.631684358914693,0.728,0.52,0.502
runs/AlexNet_experiment_0111,12,0.001,0.5,0.01,sgd,11.018508966763815,0.3265,0.316,0.304
runs/AlexNet_experiment_0110,12,0.001,0.5,0.1,sgd,11.056019469102223,0.31725,0.314,0.276
runs/AlexNet_experiment_0000,12,0.0001,0.9,0.1,sgd,11.33921058177948,0.1655,0.164,0.166
runs/AlexNet_experiment_0001,12,0.0001,0.9,0.01,sgd,10.766933604081471,0.16,0.154,0.154
runs/AlexNet_experiment_0010,12,0.0001,0.5,0.1,sgd,10.802704481283824,0.1065,0.11,0.112
runs/AlexNet_experiment_0011,12,0.0001,0.5,0.01,sgd,10.881916662057241,0.10325,0.098,0.098
